Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,RND6,RND7,Score,SB
1,1,BRA,,LeonardoCesarini27,Leonardo Cesarini,2400,W9W,W18B,W7W,W5W,W10B,W6W,W8B,7,26
2,4,BRA,,agiota_do_supi,Luís paulo supi agiotal,1805,W14B,W23W,L5B,W12B,W4W,W10W,W6B,6,20.5
3,10,BRA,,thalesdomingues,Thales Domingues,1706,U--,W21B,W19W,L7B,W14W,W11B,W5W,5,14.5
4,12,BRA,,RudimarDeLaraCatira,Rudimar De Lara Catira,1653,D21W,L12B,W17W,W23W,L2B,W13W,W7B,4.5,12.75
5,8,BRA,,JaisonLP,Jaison Leandro Polonisky,1740,W15B,W6W,W2W,L1B,W12W,L7B,L3B,4,16
6,3,BRA,,RafaLops,Rafael Lopes,1917,W13W,L5B,W9W,W8B,W7W,L1B,L2W,4,15
7,5,BRA,,Rechbruxao,,1790,W22W,W11B,L1B,W3W,L6B,W5W,L4W,4,14
7,7,BRA,,Rullyans,Rullyans Martins,1733,W17W,W10B,L12W,L6W,W13B,W9B,L1W,4,14
9,13,BRA,,CarlsenDeTaubate,Wellington Castro,1630,L1B,W24W,L6B,W17W,W18B,L8W,W16B,4,9
9,2,BRA,,Redon2007,Gabriel Redon Rosa,1998,W25B,L8W,W11B,W18W,L1W,L2B,W14W,4,9
9,11,BRA,,chesspsico2014,João Victor Michel,1617,W19B,L7W,L10W,W22B,W16B,L3W,W12W,4,9
12,4,BRA,,ViggNG,Natã Gonçalves,2101,U--,W4W,W8B,L2W,L5B,W15W,L11B,3,11.5
13,15,BRA,,AmauriDantas,AMAURI DANTAS,1445,L6B,W15W,L18W,W24B,L8W,L4B,W17B,3,7
14,16,BRA,,heraclito1976,,1318,L2W,W16B,L23B,W21W,L3B,W19W,L10B,3,6.5
15,20,BRA,,edilson-santos,"du ,,",1121,L5W,L13B,L24B,BYE,W21W,L12B,W19W,3,3.5
16,21,BRA,,domiswhoiamx,Daniel Oliveira,1033,L23B,L14W,BYE,W19B,L11W,W22B,L9W,3,3
17,19,BRA,,yurilima,Yuri Lima,1157,L8B,W25W,L4B,L9B,W22W,W21B,L13W,3,2.5
18,6,BRA,,Romameyadrov,,1749,W24B,L1W,W13B,L10B,L9W,U--,U--,2,4
19,22,BRA,,MBispo,Marcia Bispo,1077,L11W,W22B,L3B,L16W,W24W,L14B,L15B,2,2
20,23,BRA,,Foguetee,,2252,U--,U--,U--,U--,U--,BYE,W22W,2,1
21,23,BRA,,Jhoninha-1987,jonatas Ferreira,991,D4B,L3W,L22W,L14B,L15B,L17W,BYE,1.5,2.25
22,17,BRA,,SoMiranda,Soraya Vallim Miranda,1216,L7B,L19W,W21B,L11W,L17B,L16W,L20B,1,1.5
23,9,BRA,,Matheus-Henrique,Matheus Henrique,1731,W16W,L2B,W14W,L4B,U--,U--,U--,2,2
24,18,BRA,,Kallil,Mateus Kael Izar,1190,L18W,L9B,W15W,L13W,L19B,U--,U--,1,1
25,14,BRA,,JonasTrindade,Jonas Trindade,1450,L10W,L17B,U--,U--,U--,U--,U--,0,0
25,1,BRA,,gbn724,,1371,U--,U--,U--,U--,U--,U--,U--,0,0
