Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,RND6,RND7,Score,SB
1,1,BRA,,Foguetee,,2252,W9B,D6W,W8B,W28B,W2W,W4B,W5W,6.5,27.75
2,2,BRA,,AntunesPeroza,,2191,W17W,W7B,W5W,W4B,L1B,D3W,W8B,5.5,23.25
3,6,BRA,,RafaLops,Rafael Lopes,1917,W19W,W18B,L4W,W12B,W6W,D2B,W10W,5.5,21.25
4,3,BRA,,Redon2007,Gabriel Redon Rosa,1998,W13B,W10W,W3B,L2W,W15B,L1W,W9B,5,20
5,4,BRA,,Fabiano-Banach,,1956,W14W,W11B,L2B,W6W,D13B,W15W,L1B,4.5,16.25
6,8,BRA,,EliasmorenoRodrigues,,1927,W24W,D1B,W29W,L5B,L3B,W28W,W13B,4.5,11.75
7,9,BRA,,flaviolopes,Flavio Lopes,1771,W23B,L2W,W17B,L13W,L16B,W19W,W18B,4,11
8,30,BRA,,thalesdomingues,Thales Domingues,1706,W22B,D29B,L1W,W16W,D28B,W13W,L2W,4,10.5
9,15,BRA,,RudimarDeLaraCatira,Rudimar De Lara Catira,1653,L1W,W24B,L15W,W20B,W19B,W14W,L4W,4,10
10,10,BRA,,mestreperigo,Antony godoi,1718,W33W,L4B,W14W,L15B,W17W,W16B,L3B,4,9
11,11,BRA,,Rommanovv,,1733,W25B,L5W,L13B,L14W,W24B,W17B,W16W,4,8
11,1,BRA,,JaisonLP,Jaison Leandro Polonisky,1740,U--,W30B,W26W,L3W,L14B,W20W,W15B,4,8
13,17,BRA,,chesspsico2014,João Victor Michel,1617,L4W,W25B,W11W,W7B,D5W,L8B,L6W,3.5,11.25
14,18,BRA,,jonathannascimento,Jonathan Nascimento,1559,L5B,W21W,L10B,W11B,W12W,L9B,L17W,3,11
14,5,BRA,,everchess,Everaldo Cordeiro Pereira,1941,L16B,W19W,W9B,W10W,L4W,L5B,L12W,3,11
16,19,BRA,,paulovirgilio,Paulo Rodriguez,1597,W15W,L28B,W18W,L8B,W7W,L10W,L11B,3,10
17,16,BRA,,CarlsenDeTaubate,Wellington Castro,1630,L2B,W23W,L7W,W21B,L10B,L11W,W14B,3,8
18,13,BRA,,Rullyans,Rullyans Martins,1733,W26B,L3W,L16B,L19W,W23W,W21B,L7W,3,6
18,20,BRA,,AmauriDantas,AMAURI DANTAS,1445,L3B,L15B,W24W,W18B,L9W,L7B,W23W,3,6
20,23,BRA,,SoMiranda,Soraya Vallim Miranda,1216,L29W,L22W,W30B,L9W,W26B,L12B,W25W,3,3
21,1,BRA,,heraclito1976,,1318,U--,L14B,BYE,L17W,W25B,L18W,W24B,3,2
22,14,BRA,,CapsLoucko,,1643,L8W,W20B,L28W,W23B,U--,U--,U--,2,5
23,25,BRA,,yurilima,Yuri Lima,1157,L7W,L17B,W25W,L22W,L18B,W24W,L19B,2,2
24,24,BRA,,edilson-santos,"du ,,",1121,L6B,L9W,L19B,W25W,L11W,L23B,L21W,1,1
25,27,BRA,,denisnascimento5148,Denis Nascimento,919,L11W,L13W,L23B,L24B,L21W,BYE,L20B,1,0
25,29,VEN,,luisbermude123,Luis Bermúdez,741,L18W,BYE,L12B,L30W,L20W,U--,U--,1,0
27,22,BRA,,JMessias,,1308,U--,U--,U--,U--,U--,U--,U--,0,0
28,1,BRA,,ulissesarias,,2127,U--,W16W,W22B,L1W,D8W,L6B,U--,2.5,6.5
29,7,BRA,,maiconparana,Maicon Prantes,1900,W20B,D8W,L6B,U--,U--,U--,U--,1.5,0.75
30,21,BRA,,espigabjj,Luis Gustavo Cardia,1403,U--,L12W,L20W,W26B,U--,U--,U--,1,0
30,12,BRA,,agiota_do_supi,Luís paulo supi agiotal,1805,W32W,U--,U--,U--,U--,U--,U--,1,0
32,28,BRA,,K4usChess,Marcelo Costa Mendonça,958,L31B,U--,U--,U--,U--,U--,U--,0,0
32,26,BRA,,brenoborgesdacosta,Breno Borges Da Costa,964,L10B,U--,U--,U--,U--,U--,U--,0,0
32,24,BRA,,fernandofurman,Fernando Furman,2108,U--,U--,U--,U--,U--,U--,U--,0,0
