Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,RND6,RND7,Score,SB
1,2,BRA,,Foguetee,,2252,W15B,W10W,W11B,W8W,D7W,D2B,W4W,6,24.75
2,5,BRA,,Redon2007,Gabriel Redon Rosa,1998,W4W,L8B,W26W,W5B,W10W,D1W,W6B,5.5,23.5
3,4,BRA,,NeryHard,Juliano Nery,2308,U--,W13W,W6W,L7B,W15W,W10B,W8W,5,19
4,16,BRA,,RudimarDeLaraCatira,Rudimar De Lara Catira,1653,L2B,W21B,W20W,W11W,W8B,W7W,L1B,5,15
5,14,BRA,,Rullyans,Rullyans Martins,1733,W28B,L9B,W22W,L2W,W18B,W12W,W7B,5,11.5
6,7,BRA,,HHilario1,Hudson Hilário,1921,W17W,D7W,L3B,W12W,W14B,W9B,L2W,4.5,15.5
7,1,BRA,FM,kuhlmann,Ivan Nogueira,2408,W16W,D6B,W19W,W3W,D1B,L4B,L5W,4,15.75
8,19,BRA,,lilicarepilica,Liara Silva,1620,W21W,W2W,W9B,L1B,L4W,W11W,L3B,4,14.5
9,4,BRA,,RafaLops,Rafael Lopes,1917,W26B,W5W,L8W,L10B,W17B,L6W,W16B,4,13
9,11,BRA,,Primorde,Eduardo Johan,1813,W18B,L1B,W15W,W9W,L2B,L3W,W14B,4,13
11,6,BRA,,polendario,,1881,W12B,W22W,L1W,L4B,W26W,L8B,W15W,4,9.5
12,17,BRA,,chesspsico2014,João Victor Michel,1617,L11W,D27B,W16W,L6B,W13W,L5B,W19W,3.5,9.75
13,10,BRA,,EliasmorenoRodrigues,,1927,D19W,L3B,W17B,L14W,L12B,W23W,W20B,3.5,7.25
14,21,BRA,,phqam,Paulo Henrique Quintiliano Moura,2115,U--,U--,W27W,W13B,L6W,W17B,L10W,3,8
15,13,BRA,,flaviolopes,Flavio Lopes,1771,L1W,W18B,L10B,W19W,L3B,W20W,L11B,3,7.5
16,12,BRA,,JaisonLP,Jaison Leandro Polonisky,1740,L7B,L17W,L12B,W30W,W19B,W18W,L9W,3,5.5
17,18,BRA,,CarlsenDeTaubate,Wellington Castro,1630,L6B,W16B,L13W,W22B,L9W,L14W,W23B,3,5
18,21,BRA,,SoMiranda,Soraya Vallim Miranda,1216,L10W,L15W,W30B,W20B,L5W,L16B,BYE,3,2
19,20,BRA,,AmauriDantas,AMAURI DANTAS,1445,D13B,W29W,L7B,L15B,L16W,BYE,L12B,2.5,1.75
20,9,BRA,,K4usChess,Marcelo Costa Mendonça,958,U--,BYE,L4B,L18W,W22W,L15B,L13W,2,1
21,8,BRA,,guilhermeallvs1988,Guilherme Assis Alves,1834,L8B,L4W,U--,U--,W23B,U--,U--,1,1
22,22,BRA,,edilson-santos,"du ,,",1121,BYE,L11B,L5B,L17W,L20B,U--,U--,1,0
22,14,BRA,,denisnascimento5148,Denis Nascimento,919,U--,U--,BYE,L26B,L21W,L13B,L17W,1,0
24,23,BRA,,Sherekix,Marco  Aurélio,848,U--,U--,U--,U--,U--,U--,U--,0,0
24,22,BRA,,CapsLoucko,,1643,U--,U--,U--,L27B,U--,U--,U--,0,0
26,15,BRA,,agiota_do_supi,Luís paulo supi agiotal,1805,L9W,W30B,L2B,W23W,L11B,U--,U--,2,1
27,4,BRA,,inaciodavies,,1833,U--,D12W,L14B,W25W,U--,U--,U--,1.5,0.75
28,3,BRA,,davalb,David,2002,L5W,U--,U--,U--,U--,U--,U--,0,0
28,9,BRA,,mestreperigo,Antony godoi,1718,U--,L19B,U--,U--,U--,U--,U--,0,0
28,13,BRA,,dedfernandes,Ded Fernandes,1194,U--,L26W,L18W,L16B,U--,U--,U--,0,0
