Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,RND6,RND7,Score,SB
1,2,BRA,NM,allvim,Alvaro Almeida,2319,W45B,W57W,W9B,W7W,W3B,W6B,L2W,6,25.5
2,1,BRA,FM,kuhlmann,Ivan Nogueira,2408,W33W,L26B,W45W,W20B,W58W,W7B,W1B,6,23
3,8,BRA,,IgorSpeedRun,Igor Cadilhac,2162,W11B,W27W,W15B,W12W,L1W,W16B,D5B,5.5,24.25
4,6,BRA,,DoMateClan,Dwlyan Santos,2232,W37B,L15W,W24B,W28W,W17B,W10W,D8B,5.5,22
5,3,BRA,,LeonardoCesarini27,Leonardo Cesarini,2400,W65W,W19B,W26W,W10B,L6W,W9B,D3W,5.5,20.75
6,21,BRA,,muzzichess,,2585,U--,W30B,W18B,W8W,W5B,L1W,W15B,5,21.5
7,13,BRA,,phqam,Paulo Henrique Quintiliano Moura,2115,W29B,W43W,W28W,L1B,W15W,L2W,W17B,5,16.5
8,10,BRA,,willianbianchi,Willian Bianchi,2041,W67B,D18W,W13B,L6B,W30W,W14B,D4W,5,16.25
9,14,BRA,,RedNada,Eduardo Almeida,2086,W44W,W54B,L1W,W22B,W12B,L5W,W16W,5,16
10,20,BRA,,vitt1,Victor Trevisan de Lima,2035,W49W,W62B,W14B,L5W,W11W,L4B,W20W,5,15.5
10,36,BRA,,chesspsico2014,João Victor Michel,1617,L3W,W50B,W19W,W27W,L10B,W58B,W26W,5,15.5
12,23,BRA,,Redon2007,Gabriel Redon Rosa,1998,W47B,W61W,W59B,L3B,L9W,W38B,W19W,5,12
13,16,BRA,,davalb,David,2002,D30W,W21B,L8W,W31B,L14W,W23B,W27W,4.5,16
14,5,BRA,,NeryHard,Juliano Nery,2308,W25W,W17B,L10W,L16W,W13B,L8W,W31B,4,15.5
15,22,BRA,,RafaLops,Rafael Lopes,1917,W55W,W4B,L3W,W25W,L7B,W32B,L6W,4,13.5
16,25,BRA,,polendario,,1881,L43B,W38W,W39W,W14B,W26W,L3W,L9B,4,13
17,21,BRA,,Rechbruxao,,1790,W42B,L14W,W23B,W37B,L4W,W29B,L7W,4,12.5
18,27,BRA,,Gabriel_LXDAP,Gabriel Alves Freitas,1742,W39B,D8B,L6W,L30B,W41B,D28W,W32B,4,12.25
19,18,BRA,,zuginfinito,,2139,W46W,L5W,L11B,W35W,W24B,W33W,L12B,4,12
20,4,BRA,,guilhermeallvs1988,Guilherme Assis Alves,1834,U--,W29W,W49B,L2W,W31B,W57W,L10B,4,10.5
21,55,BRA,,JoaoGuilhermeCamargo,,790,W22B,L13W,L33W,L29B,W49B,W50W,W37W,4,10
21,28,BRA,,mullerpg9,Paulo Guilherme Müller,1661,L21W,W44B,W43W,L9W,L23B,W30B,W34W,4,10
23,37,BRA,,CarlsenDeTaubate,Wellington Castro,1630,L52B,W63W,L17W,W53B,W22W,L13W,W33B,4,9
23,32,BRA,,jonathannascimento,Jonathan Nascimento,1559,L62W,W42B,L4W,W50B,L19W,W43W,W38B,4,9
25,33,BRA,,agiota_do_supi,Luís paulo supi agiotal,1805,L14B,W51W,W62W,L15B,L57B,W42W,W29B,4,8
26,15,BRA,,Fabiano-Banach,,1956,W66B,W2W,L5B,W33W,L16B,D27W,L11B,3.5,10.75
27,24,BRA,,storge77,CESAR FERNANDO DELOSKI,1897,W50W,L3B,W35W,L11B,W37W,D26B,L13B,3.5,9.25
28,26,BRA,,mestreperigo,Antony godoi,1718,W63W,W52W,L7B,L4B,L32W,D18B,W40W,3.5,6.5
29,40,BRA,,Gabriel_SNZ,Gabriel S,1625,L7W,L20B,W51B,W21W,W60B,L17W,L25W,3,7.5
29,43,BRA,,AmauriDantas,AMAURI DANTAS,1445,D13B,L6W,W56B,W18W,L8B,L22W,D41W,3,7.5
29,35,BRA,,Biland,Jonathan Jesus,1597,L61B,W47W,W57B,L13W,L20W,W39B,L14W,3,7.5
29,30,BRA,,JEHUBNER,Jéssica Hübner,1617,U--,U--,W46W,W43B,W28B,L15W,L18W,3,7.5
33,29,BRA,,JaisonLP,Jaison Leandro Polonisky,1740,L2B,W66W,W21B,L26B,W34W,L19B,L23W,3,7
33,39,BRA,,wagnerrn,Wagner Wesner,1532,L59B,L58B,W42W,W39B,L33B,W44W,L22B,3,7
35,46,BRA,,AbreuLuiza,,1235,W58W,L59W,L27B,L19B,L39W,W54B,W43W,3,6
36,45,BRA,,AlvaroPk,Alvaro Polaczek,1304,U--,U--,L53W,W40W,L43B,W55W,W47B,3,5.5
37,34,BRA,,RudimarDeLaraCatira,Rudimar De Lara Catira,1653,L4W,W55B,W52B,L17W,L27B,W47W,L21B,3,4
37,4,BRA,,Ruanpablo1,Ruan Pablo Barbosa santos,1563,U--,L16B,W55W,W54W,W45B,L12W,L24W,3,4
39,54,BRA,,K4usChess,Marcelo Costa Mendonça,958,L18W,W67W,L16B,L34W,W35B,L31W,D42B,2.5,4.25
40,44,MEX,,UnknowMeister,El Pirata,1237,L57W,L60B,D65W,L36B,W51B,W46W,L28B,2.5,3.75
41,47,BRA,,Kaissara,Luiz Claudio Moura,1877,U--,U--,U--,W65B,L18W,W49W,D30B,2.5,3.5
42,48,BRA,,IldoLucas,,1153,L17W,L24W,L34B,W55B,W54W,L25B,D39W,2.5,3.25
43,52,BRA,,ShaDoWzera7,Rafael De Oliveira,946,W16W,L7B,L22B,L32W,W36W,L24B,L35B,2,7
44,41,BRA,,StefanKuster,Stefan Eyng,1304,L9B,L22W,W47B,L57W,D50B,L34B,D49W,2,3.5
44,30,BRA,,NUNCAFICOBOM,Rodrigo Campos,1527,L1W,W46B,L2B,W49W,L38W,U--,U--,2,3.5
46,45,BRA,,SoMiranda,Soraya Vallim Miranda,1216,L19B,L45W,L32B,W51W,L47B,L40B,W50W,2,3
47,50,BRA,,MoraesLeo,Leonardo Paes Barreto Moraes,1042,L12W,L31B,L44W,BYE,W46W,L37B,L36W,2,2
48,56,BRA,,JonasTrindade,Jonas Trindade,1450,U--,U--,U--,U--,U--,D51W,W55B,1.5,1.75
49,47,BRA,,Emanuel_Anderson,Emanuel Anderson Da Silva Costa,1226,L10B,W65B,L20W,L45B,L21W,L41B,D44B,1.5,1.5
50,51,BRA,,denisnascimento5148,Denis Nascimento,919,L27B,L11W,W66B,L24W,D44W,L21B,L46B,1.5,1
51,4,BRA,,lucasgabrielpa,Lucas Gabriel Nascimento Queiroz,1268,U--,L25B,L29W,L46B,L40W,D48B,BYE,1.5,0.75
52,9,BRA,,yag4a,Carlos Carvalho Jr.,2123,W23W,L28B,L37W,U--,U--,U--,U--,1,4
53,3,BRA,,domovsky,,849,U--,L64W,W36B,L23W,U--,U--,U--,1,3
54,56,BRA,,BioXadrez,Bio_Xadrez,757,BYE,L9W,L60W,L38B,L42B,L35W,U--,1,0
54,49,BRA,,PatoFei,Vanderson Lucas,935,L15B,L37W,L38B,L42W,BYE,L36B,L48W,1,0
56,12,BRA,NM,manuelsobrinho,Manuel Sobrinho,2100,U--,U--,L30W,U--,U--,U--,U--,0,0
57,17,BRA,,fernandofurman,Fernando Furman,2108,W40B,L1B,L31W,W44B,W25W,L20B,U--,3,5
57,19,BRA,,macgyversp,,2004,L35B,W34W,W64B,W60W,L2B,L11W,U--,3,5
59,11,BRA,,Willianctba,willian colaço,2094,W34W,W35B,L12W,U--,U--,U--,U--,2,1
60,6,BRA,,NNDenis,Denis Costa,1695,U--,W40W,W54B,L58B,L29W,U--,U--,2,1.5
61,7,BRA,NM,dodorox,Ronaldo Alonso Moreira,2119,W31W,L12B,U--,U--,U--,U--,U--,1,0
62,4,BRA,NM,istvan1995,Henrique Nemeth Junior,2323,W24B,L10W,L25B,U--,U--,U--,U--,1,1
63,53,RUS,,Lomonosova,Olga Trofanova,873,L28B,L23B,BYE,U--,U--,U--,U--,1,0
